RK,TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ T.,WAB
102,Abilene Christian,Slnd,25,24-5,100.5,93.7,0.6923,51.2,46,19.2,26.5,30.6,27.9,32.7,41.1,49.3,46.8,36.4,29.7,69.3,-1.1
,"   14 seed, R32",,,13–2,202,33,102,105,20,183,1,85,168,143,328,185,68,55,12,114,64
103,San Francisco,WCC,25,14-Nov,105.4,98.3,0.69,51.3,49.8,16.9,19.9,24.8,24.7,21.4,39.9,51.5,50.1,34,32.6,68.3,-5.9
,,,,4–9,110,94,103,100,162,74,100,249,52,344,321,100,178,153,104,160,170
104,Nevada,MWC,25,16-10,107.8,100.7,0.6871,51.3,48.4,18.3,17.8,24.3,24.3,38.9,41.4,50,46.9,35.5,33.6,70.1,-2.8
,,,,10–7,74,140,104,100,92,137,238,262,39,18,331,154,72,85,153,86,96
105,Missouri St.,MVC,22,17-7,106,99.3,0.6794,54.2,47.5,18.2,14.2,23.8,22.2,30.6,28,55.2,46.4,35,33,68.8,-2.6
,,,,12–6,102,113,105,32,54,131,341,278,12,195,88,17,51,108,124,135,91
106,Massachusetts,A10,15,7-Aug,105.6,99.2,0.6725,50,50.9,16.3,19.9,24.3,25.6,34.2,33.4,50.9,51,32.6,33.8,71.4,-3.7
,,,,6–4,108,112,106,169,204,44,100,262,80,95,213,119,226,224,169,44,121
107,Marshall,CUSA,22,15-7,108.4,101.9,0.6703,54.8,49.9,16.3,19.8,23.8,28.2,24.2,27.5,55.5,47.7,36,35.9,72.7,-2.6
,,,,9–5,64,163,107,23,164,44,106,278,183,327,74,12,96,64,279,17,92
108,Belmont,OVC,29,26-4,108.1,101.8,0.6654,56.3,49.3,16.6,20.4,26.4,27.2,27.9,24.6,59.4,48.2,34.7,34,70.8,-1
,,,,18–2,71,161,108,9,135,56,80,211,145,265,28,3,112,123,183,61,63
109,UC Riverside,BW,22,14-8,103,97.5,0.6519,52.5,45.8,17.6,16.4,26.1,23.8,22,28.6,50.3,44.7,36.9,31.9,66.5,-4.3
,,,,9–5,145,83,109,66,16,102,300,226,30,342,103,142,13,43,73,249,140
110,UC Irvine,BW,25,18-9,99.6,94.4,0.65,47.3,45.6,18.9,18.2,31.1,24.7,29.1,28.1,46.7,43.2,32.9,32.9,67.5,-3.4
,,,,12–4,219,38,110,282,13,170,202,72,52,237,91,280,6,210,117,204,115
111,Duquesne,A10,18,9-Sep,102.1,97.5,0.6312,47.6,47.3,19.5,19.6,31,30.1,31.6,35.5,49.3,50.3,29.9,28.4,68.7,-4.3
,,,,7–7,169,82,111,277,47,197,121,75,254,165,272,185,188,316,4,138,137
112,Pacific,WCC,17,9-Sep,102.9,98.4,0.6263,47.9,51.6,16.5,18.2,27.5,23.6,26.9,33.2,49.1,50.8,29.8,35.1,66.4,-3
,,,,6–7,147,95,112,264,237,54,202,181,25,287,209,192,215,319,243,257,104
113,Rhode Island,A10,25,15-Oct,103.4,98.9,0.6258,49.2,47.9,19.7,17.5,30,26.7,38.9,33.5,50.3,46.8,31.2,33,69.2,-6.9
,,,,7–10,139,103,113,204,66,211,254,103,127,18,216,142,68,285,124,121,197
114,California,P12,28,20-Sep,104.2,99.7,0.6244,49.4,53,19.3,17.6,24.3,25.1,34,34,49.5,51.1,32.9,37.9,64.8,-7.5
,,,,3–17,127,122,114,194,289,185,249,262,63,103,239,177,228,210,323,310,217
115,UNC Greensboro,SC,30,21-9,101.9,97.5,0.6238,47.9,48.2,15.6,21.1,32.1,25.7,23.7,36.5,49.9,48.9,29.9,31.4,67.9,-3.4
,"   13 seed, R64",,,13–5,172,85,115,264,86,18,55,53,86,332,285,158,132,316,54,183,114
116,DePaul,BE,19,14-May,99.3,95.2,0.6198,46.1,48,22.1,20.1,31.8,31.6,23.7,35.3,45.7,49.1,31.5,30.9,70,-6
,,,,2–13,224,50,116,307,73,317,89,60,295,332,267,303,137,273,37,92,174
117,TCU,B12,26,14-Dec,104.4,100.2,0.6155,49.9,50.7,20.9,17,28.9,29.3,32.4,29.3,49.5,51,33.8,33.5,66.7,-3.9
,,,,5–11,124,132,117,174,195,273,279,135,226,152,119,177,226,162,147,241,129
118,Cincinnati,Amer,23,11-Dec,102.6,98.6,0.6122,48.4,49.6,20.5,18.6,29.1,25.3,33,37.8,49.4,49.2,31.1,33.6,70.8,-2.9
,,,,8–6,157,96,118,246,145,258,174,127,72,134,299,181,145,289,153,64,102
119,Akron,MAC,21,15-8,107,103,0.6092,51.5,48.6,17,16.4,30,28.8,30.7,27.3,52.7,49.3,33.4,31.6,68.2,-3.1
,,,,12–6,90,190,119,95,103,76,300,103,208,191,66,63,146,178,58,165,109
120,South Dakota St.,Sum,22,16-7,109.7,105.7,0.605,56.5,51.2,17.3,15.3,24,21.1,38,26.3,53.9,49.9,40.9,35.5,71.1,-2.8
,,,,9–3,52,244,120,6,220,90,330,275,4,29,48,36,171,2,262,53,97
121,Butler,BE,25,15-Oct,102.6,98.9,0.6042,47.5,53,17.3,18.6,26,25.2,29.4,28.5,46.8,53.4,32.3,35,64.4,-3.8
,,,,8–12,154,105,121,279,289,90,174,230,67,229,100,277,289,238,240,321,127
122,Texas A&M,SEC,18,10-Aug,102.5,99.2,0.595,47.7,53.1,22.4,22.7,32.8,30.1,33.7,29.6,49.5,55,30,34.1,64.7,-4
,,,,2–8,158,110,122,273,296,324,14,35,254,113,132,177,321,312,187,315,133
123,Oral Roberts,Sum,26,18-11,107.8,104.3,0.5947,53,50.1,15.5,18.4,22.7,33.5,27.9,31.6,49.9,49.4,37.7,34.4,71,-4.9
,"   15 seed, Sweet Sixteen",,,10–5,75,216,123,56,175,15,191,307,334,265,174,158,151,16,212,55,152
124,Indiana St.,MVC,24,15-10,101.4,98.1,0.5932,48.9,51.5,18.3,21.7,25.2,27.7,36.3,28.3,47.9,52.6,33.8,33.1,66.7,-3.7
,,,,11–7,184,93,124,217,231,137,42,244,158,57,95,246,270,162,131,239,123
125,UTEP,CUSA,21,12-Dec,103,99.8,0.5896,47.5,49.7,16.1,19,24.7,25.4,29.9,40.8,46.5,48.7,32.8,34.6,67.4,-6.4
,,,,8–8,143,124,125,279,153,36,146,251,75,214,326,285,128,218,225,206,184
RK,TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ T.,WAB
126,Temple,Amer,16,11-May,101.9,98.8,0.5875,46.7,47.3,19.5,16,25.9,28.1,38.9,31.7,43.8,44.8,34.2,34.3,68,-6.2
,,,,4–10,173,102,126,297,47,197,317,232,179,18,178,332,14,145,203,176,179
127,South Carolina,SEC,21,15-Jun,103.2,100.1,0.5856,46.7,53.2,19.8,22,32.2,31.3,27.9,39,47.2,52,30.5,36.8,74.3,-5.6
,,,,4–12,141,130,127,297,299,218,34,45,285,265,314,268,256,303,311,3,162
128,Miami FL,ACC,27,17-Oct,102.4,99.5,0.5801,47.4,52.5,18.4,17.9,27,26.3,32.8,19.8,48.9,49.7,29.5,37.8,67.7,-6.5
,,,,4–15,163,117,128,281,272,145,224,188,105,140,2,203,161,325,322,195,186
129,George Mason,A10,21,13-9,101.4,98.7,0.5755,48.7,50.3,17.6,19.3,30.3,22.9,29.3,28.6,48.5,48.4,32.7,35.7,68,-4
,,,,8–6,186,100,129,226,182,102,133,95,17,232,103,224,120,220,269,175,134
130,Tulsa,Amer,21,12-Nov,101.5,98.9,0.575,49,48.5,20,21.7,26.5,32.1,33.1,35.1,51.6,46.6,30,34.1,65.7,-5.3
,,,,7–9,180,104,130,211,97,227,42,207,312,129,259,95,55,312,187,283,159
131,Kent St.,MAC,22,15-8,103.8,101.2,0.5717,50.8,49.6,19.3,17.6,34.2,28.6,28.1,27.9,51.3,47.5,33.5,35.3,69.5,-2.8
,,,,12–6,130,154,131,123,145,185,249,25,199,259,85,102,88,174,253,104,98
132,Santa Clara,WCC,19,8-Dec,101.3,99,0.5681,47.7,47.4,17.8,16.9,23,24.9,39.9,30.1,49,47.2,29.9,31.9,70.6,-2.9
,,,,4–5,187,107,132,273,52,113,282,300,58,16,142,198,82,316,73,67,100
133,Mercer,SC,26,18-11,105.2,102.8,0.5668,54.3,50.2,18,16.8,26.1,26,24.8,27.1,53.9,52.1,36.6,31.4,67.6,-6.2
,,,,8–9,112,186,133,30,178,120,288,226,94,322,63,36,260,48,54,200,181
134,Morehead St.,OVC,29,23-8,100.1,98,0.562,52.2,47.4,23.1,17.7,31.5,25.2,36.2,23.1,51.8,47.8,35.3,31.2,65.2,-1.9
,"   14 seed, R64",,,17–3,209,90,134,77,52,333,245,65,67,60,12,87,100,93,46,299,78
135,Iona,MAAC,18,6-Dec,100.9,99,0.5549,50.7,46,22.5,19.7,32.6,26.9,34.5,46.1,49.9,46.3,34.6,30.2,67.8,-3.2
,"   15 seed, R64",,,6–3,195,106,135,128,20,326,112,39,137,87,342,158,46,127,20,189,112
136,East Tennessee St.,SC,23,13-12,102.3,100.4,0.5545,50.3,50.4,20.3,19.8,30.5,26.5,29.8,31.6,49,49.3,34.9,34.4,65.6,-7.2
,,,,8–7,167,136,136,157,187,244,106,87,115,216,174,198,146,111,212,289,205
137,James Madison,CAA,17,13-7,104.7,102.7,0.5531,50.5,49.6,16.7,20.8,27.9,28.2,40.8,33.4,50.9,50.3,33.3,32.6,71.8,-4.5
,,,,8–2,118,184,137,138,145,61,65,168,183,11,213,119,188,181,104,32,145
138,Vermont,AE,15,5-Oct,105.2,103.4,0.5493,53.3,47,18.1,19,26.6,23.2,33,33.5,54.4,47.1,34.4,31.2,66.1,-3.8
,,,,10–4,113,199,138,45,39,125,146,202,19,134,216,27,79,137,46,265,126
139,Weber St.,BSky,20,17-6,105.9,104.1,0.5492,56.4,49.9,17.2,18.9,22.4,24.5,36.8,32.2,57.3,48.3,36.6,35.2,71.6,-3.2
,,,,12–3,105,215,139,8,164,83,154,314,48,48,187,4,115,48,246,38,111
140,Drexel,CAA,20,8-Dec,106.7,104.9,0.5491,53.3,50.1,19.4,15.9,28.7,24.1,27.3,26.4,52,51.2,37.1,32,64.1,-4.5
,"   16 seed, R64",,,4–5,95,233,140,45,175,191,321,143,34,278,54,81,235,39,77,327,143
141,Southern Utah,BSky,19,20-4,107.5,105.6,0.5488,52.4,51.7,16,17,29.2,23.9,39.4,31.2,54,50.4,33.4,35.8,70,-1.4
,,,,12–2,84,243,141,69,241,33,279,122,32,17,164,35,197,178,273,88,72
142,Kansas St.,B12,28,20-Sep,98.5,96.8,0.5484,47.2,53,22.3,19.7,29.9,27.9,27.9,32.2,48.7,52,30,36.3,65.6,-8
,,,,4–14,241,69,142,285,289,319,112,107,168,265,187,214,256,312,290,287,233
143,Chattanooga,SC,24,18-8,102.9,101.2,0.5468,50.4,51.9,15.9,18.8,22.6,25.1,28.1,23.4,48.6,52.2,35.4,34.3,66.5,-4.2
,,,,9–7,149,153,143,148,248,31,160,310,63,259,15,218,264,88,203,250,136
144,New Mexico St.,WAC,17,8-Dec,105,103.3,0.5466,49.4,49.5,18.3,18.6,34.3,26.5,31,34,50.8,50.5,31.9,31.8,63.8,-5.5
,,,,7–6,116,196,144,194,141,137,174,23,115,182,239,121,204,256,66,330,160
145,Old Dominion,CUSA,22,15-8,101.2,99.6,0.5453,48.6,50,18.5,19.5,27.9,25.9,31.3,29.4,50.6,47.6,29.4,35.5,67.2,-3.1
,,,,11–5,189,121,145,234,169,150,126,168,91,174,125,126,94,326,262,214,105
146,Washington,P12,26,21-May,102.4,100.9,0.5447,48.9,51.2,19.2,17.2,23.4,34.4,26.2,34.7,48.3,50.6,33.2,34.9,70.8,-8.3
,,,,4–16,161,142,146,217,220,183,267,292,341,298,253,231,208,190,234,59,240
147,Wofford,SC,22,15-9,105.1,103.5,0.5424,54.9,52,18.9,18.6,25.5,28,24.3,25.4,56.6,52.2,35.6,34.5,65.6,-4.7
,,,,12–5,115,203,147,21,253,170,174,240,173,325,37,9,264,79,219,288,147
148,Ball St.,MAC,23,13-Oct,103.4,101.9,0.5407,51.3,48.9,19.7,17.2,27.8,30.5,28.7,35.7,51.4,50.4,34.2,31,70.6,-7.5
,,,,8–9,138,164,148,100,118,211,267,172,267,244,275,101,197,145,42,69,214
149,Navy,Pat,18,15-3,103.7,102.3,0.5384,50,52.4,18.2,22.4,32.2,25,33,32.5,50.6,53.7,32.6,33.6,66.4,-0.5
,,,,12–1,132,178,149,169,267,131,22,45,60,134,196,126,297,224,153,255,55
150,South Dakota,Sum,24,14-11,107.4,106,0.5367,53.2,49.5,15.4,15.4,21.7,24.4,33.1,35.3,50.5,47.3,39.1,35.4,68.9,-6.9
,,,,11–4,85,253,150,48,141,14,328,322,45,129,267,131,87,7,259,131,195
RK,TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ T.,WAB
151,Georgia St.,SB,20,16-6,106,104.6,0.5363,51.3,48.8,16.8,19.7,30.9,32.5,32.6,34.6,51,47.2,34.5,34.1,70.5,-3.3
,,,,8–4,103,225,151,100,114,66,112,77,320,149,250,113,82,134,187,73,113
152,UTSA,CUSA,22,15-11,106.1,104.9,0.5324,49.4,50.9,15.7,18.1,26.5,26.9,23.7,38.3,49.2,49.8,33.1,35.1,71.7,-6.1
,,,,9–7,99,234,152,194,204,23,210,207,137,332,304,190,166,199,243,34,178
153,Wyoming,MWC,25,14-11,108.9,107.7,0.5317,53.7,52.9,15.9,18.1,22.9,27.8,35.3,33.9,53.9,54.4,35.7,33,69.2,-5.1
,,,,7–9,58,282,153,42,286,31,210,304,165,75,236,36,312,76,124,122,155
154,Florida Atlantic,CUSA,19,13-10,102.3,101.3,0.5273,51.4,49.7,20.4,18.6,31.6,23.3,30.1,38,50.2,47.7,35.4,35.4,68.1,-7.2
,,,,7–5,168,156,154,96,153,250,174,64,21,206,302,146,96,88,259,172,206
155,Tulane,Amer,23,13-Oct,99,98.1,0.5264,44.2,49.7,16.6,22.1,22.9,30.6,36.6,30,44,46.7,29.8,35.8,67.2,-5.9
,,,,4–12,228,92,155,339,153,56,29,304,272,51,140,328,61,319,273,217,171
156,Murray St.,OVC,24,13-13,104,103.1,0.5236,54.7,49.7,19.3,19.4,27.6,26,26.1,31.4,54.5,50.1,36.6,32.7,66.1,-10.3
,,,,10–10,129,194,156,24,153,185,131,178,94,301,170,26,178,48,109,272,276
157,Wake Forest,ACC,21,16-Jun,101.9,101.2,0.521,49,54.5,20,17.9,26.2,25.9,28.5,32.1,45.9,52.8,35.1,38.3,66.6,-7.1
,,,,3–15,171,152,157,211,323,227,224,220,91,250,186,298,275,103,331,248,204
158,North Dakota St.,Sum,27,15-12,102.8,102.1,0.52,50.4,49.9,18.7,13.8,28.7,19.7,33.6,26.3,49.9,49.5,34.1,33.7,64.6,-6.8
,,,,11–5,152,171,158,148,164,163,344,143,1,117,48,158,156,147,163,317,194
159,Bowling Green,MAC,25,14-12,103.7,103,0.5195,47.6,51,13.5,19,30.3,29.5,27.9,29.9,47.7,51.5,31.6,33.4,69.9,-5.5
,,,,10–8,133,191,159,277,210,2,146,95,233,265,138,254,245,270,142,94,161
160,Jacksonville St.,OVC,25,18-9,104.5,103.9,0.5176,52.5,48.1,19.9,15.7,32.2,28,31,25.5,52.8,47.5,34.6,32.7,65.9,-5.1
,,,,13–6,123,212,160,66,83,223,325,45,173,182,38,60,88,127,109,279,156
161,Boston College,ACC,20,16-Apr,103.6,103,0.5166,49.8,55.5,19.1,18.7,25.4,28.7,29.7,29.1,50.1,56.9,33,35.3,71.4,-7.5
,,,,2–11,134,189,161,180,337,179,166,242,203,225,115,149,340,205,253,46,216
162,Miami OH,MAC,22,11-Dec,105,104.5,0.5136,50.5,51.8,16.3,18.1,27.9,29,25.5,27.4,48.1,51.1,36.2,35.3,65.6,-6.4
,,,,9–8,117,221,162,138,245,44,210,168,213,314,71,238,228,60,253,286,183
163,Cal St. Bakersfield,BW,24,15-11,102.9,102.5,0.5087,48.4,50.6,19.6,20.6,38.5,25.7,26.9,42.3,47.6,49.4,33.8,34.9,63.6,-5.8
,,,,11–7,151,183,163,246,193,204,72,3,86,287,334,258,151,162,234,334,166
164,Stephen F. Austin,Slnd,18,16-5,102.7,102.5,0.5061,55,50.9,23.5,24.5,36.7,27.4,44,42.2,57.1,50.5,32.2,34.5,69.5,-2.7
,,,,12–3,153,182,164,18,204,337,3,7,151,1,333,6,204,245,219,106,93
165,Bellarmine,ASun,20,14-8,107.5,107.3,0.5053,55.3,55.4,17.3,22.7,25.8,28.6,28.2,28.4,55,52.8,37.3,38.9,64.8,-4.7
,,,,10–3,83,278,165,15,334,90,14,233,199,258,96,22,275,28,337,312,148
166,Bradley,MVC,26,16-Dec,103,102.9,0.5039,49.9,51.1,18.9,17.8,28,26.2,22.6,30.2,51.6,46.4,31.4,38.1,65.8,-9.6
,,,,6–12,144,187,166,174,218,170,238,165,102,341,147,95,51,278,327,280,268
167,Texas St.,SB,23,18-7,99.5,99.6,0.4957,51.8,49.7,20.1,22.7,28.6,26.5,27.1,33.3,49.1,47.5,39.4,35.2,62.6,-4.3
,,,,12–3,222,119,167,85,153,234,14,147,115,281,212,192,88,6,246,343,138
168,VMI,SC,22,13-12,106,106.2,0.4946,53.8,50.5,16.9,13.4,22.6,25.7,28.8,23.3,52.4,50.8,37,33.4,70,-7.4
,,,,7–7,104,257,168,40,190,74,345,310,86,241,13,71,215,40,142,89,212
169,Iowa St.,B12,24,22-Feb,100.6,100.8,0.4937,48,51.9,21.1,18.5,24.3,33.1,19.6,36.2,48,53.1,32.1,33,69.6,-10.3
,,,,0–18,200,141,169,258,248,284,184,262,329,347,284,242,281,249,124,100,277
170,UMBC,AE,20,14-6,100.3,100.6,0.4906,50.3,46.5,18.8,17.9,25.8,24.3,36.6,25.6,49.8,44.5,34.1,32.9,67.9,-3.8
,,,,10–4,208,138,170,157,29,167,224,233,39,51,40,165,11,147,117,186,125
171,UNLV,MWC,25,15-Dec,103.4,103.9,0.4886,50.7,51.9,19.6,17.7,28.8,25,21.4,33.7,49.8,48.1,34.6,37.9,65.8,-7.8
,,,,8–10,137,210,171,128,248,204,245,138,60,344,226,165,110,127,323,281,227
172,East Carolina,Amer,18,11-Aug,98.2,98.8,0.482,45.2,48.9,18.5,20.6,26.9,27.7,33.1,38.3,45.5,49.7,29.8,31.9,68,-6.2
,,,,2–10,248,101,172,326,118,150,72,192,158,129,304,309,161,319,73,174,180
173,Northeastern,CAA,19,9-Oct,98,98.7,0.4817,51.6,48.3,19.5,17.2,20.2,26.3,26,29.3,50.4,48.3,35.4,32.3,67.1,-4.4
,,,,8–2,252,98,173,92,87,197,267,333,105,305,119,135,115,88,87,222,142
174,Northern Iowa,MVC,23,15-Oct,102.3,103,0.4815,50,52.9,19.1,16.8,26.4,21.9,26.5,27.7,51.1,54.2,32.2,34.1,69,-8.9
,,,,7–11,166,192,174,169,286,179,288,211,6,295,79,111,309,245,187,130,257
175,Bryant,NEC,21,15-7,102.9,103.6,0.4808,53.3,46.7,20.3,17.3,28.3,30.4,33.9,27.6,51,48.5,37.7,29.2,74.3,-3.9
,,,,10–4,146,206,175,45,33,244,264,153,263,107,76,113,122,16,11,4,131
RK,TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ T.,WAB
176,Eastern Kentucky,OVC,27,22-7,101.5,102.2,0.4802,51.2,51,16.6,24.3,26.8,30.2,25.6,32.2,49.6,51.8,35.8,33,74.8,-3.8
,,,,15–5,181,174,176,105,210,56,5,196,259,312,187,174,254,72,124,2,124
177,Gardner Webb,BSth,26,15-Nov,104.6,105.3,0.4797,52.4,48.6,17.5,18.2,26.6,28.1,30,36.5,51,46.9,36.1,34.1,66.4,-10.9
,,,,10–10,121,238,177,69,103,98,202,202,179,210,285,113,72,62,187,256,284
178,Hofstra,CAA,23,13-10,106.3,107.1,0.4779,50.8,51.1,17.5,17.4,29.3,28.9,33.2,25.8,51.7,51.4,33,33.8,68.2,-5.9
,,,,8–6,97,271,178,123,218,98,260,118,210,124,44,89,243,205,169,167,169
179,Detroit,Horz,22,10-Dec,108,109,0.4745,55.1,54.2,16.8,18.5,27.2,29.1,25.3,22.4,52.2,53.4,39.1,36.8,67.1,-6.8
,,,,10–6,72,299,179,17,318,66,184,185,219,319,7,74,289,7,311,219,193
180,Fresno St.,MWC,22,12-Dec,100.8,102.1,0.4636,48.8,51.3,21.5,18.9,30.5,25,36.8,33.6,48.7,49.9,32.6,35.8,65.2,-6.1
,,,,9–11,196,173,180,223,223,299,154,87,60,48,224,214,171,224,273,300,177
181,Cleveland St.,Horz,27,19-8,100.5,101.8,0.4633,50.5,49.1,18.6,20.1,30.7,32.5,32.5,37.6,51.7,51.3,32.1,30.7,66,-2.7
,"   15 seed, R64",,,16–4,203,162,181,138,125,156,89,83,320,150,298,89,240,249,31,276,95
182,South Florida,Amer,21,13-Sep,100.6,102.2,0.4546,45.1,51.7,20.8,17.8,33.8,26.5,34.5,33.5,43.3,51.5,32.4,34.6,67.1,-5.9
,,,,4–10,198,176,182,327,241,269,238,28,115,87,216,335,245,231,225,224,173
183,San Diego,WCC,14,11-Mar,98.1,99.9,0.4466,46.4,53.3,18.1,18.2,20.9,25.6,25.6,33.8,46.8,51.2,30.4,38.5,70.1,-5.9
,,,,2–7,251,125,183,304,302,125,202,327,80,312,232,277,235,305,335,85,172
184,Sam Houston St.,Slnd,24,19-9,100.4,102.5,0.4412,50.4,48.5,20.3,22,29.3,32.7,30,39.5,49.1,50.3,34.8,30.3,70.8,-4.3
,,,,13–3,205,181,184,148,97,244,34,118,324,210,317,192,188,114,21,60,139
185,Hartford,AE,24,15-9,97.1,99.1,0.4408,49.9,47.7,19.6,20.1,24.7,29,28.6,24.4,51,50.6,32.3,29,67,-4.9
,"   16 seed, R64",,,8–6,264,109,185,174,58,204,89,251,213,246,27,113,208,238,8,225,151
186,Elon,CAA,18,9-Oct,98,100.2,0.4367,48.3,49.6,17.5,17.9,24.6,22.7,23.2,39.5,47.3,50.4,33.1,32.4,66,-6.5
,,,,4–7,253,131,186,249,145,98,224,255,15,337,317,261,197,199,90,275,185
187,Coastal Carolina,SB,22,18-8,98.8,101.1,0.4337,49.7,46.5,21.7,17.9,34.8,26.4,33.8,29.5,48.6,46.3,34.3,31.2,70.7,-5.2
,,,,9–5,232,151,187,185,29,308,224,17,110,111,130,218,46,143,46,66,158
188,Southern Illinois,MVC,25,14-Dec,99.6,102,0.4335,52.2,53.1,18.5,19,16.6,25.6,29.8,23.9,49.7,54.1,37.2,34.4,66,-7.9
,,,,5–13,216,167,188,77,296,150,146,345,80,216,22,169,305,30,212,274,229
189,Army,Pat,21,10-Dec,98.8,101.5,0.4241,51.8,52.4,18.1,19.4,23.2,24.7,29.4,24.2,54.1,50.6,32.3,36.7,68.6,-5.2
,,,,7–7,233,157,189,85,267,125,131,295,52,229,25,31,208,238,308,149,157
190,Siena,MAAC,17,5-Dec,99.6,102.4,0.4203,52,46,19.5,17.8,28,27.1,37.2,24.7,52.2,44.8,34.4,32.4,65.4,-3.7
,,,,12–4,218,180,190,82,20,197,238,165,142,38,30,74,14,137,90,293,120
191,Austin Peay,OVC,25,14-13,104.2,107.2,0.4194,50.4,54.8,21.2,22.3,35.7,29.6,29.4,32.9,50.6,54.5,33.3,36.9,66.7,-10.3
,,,,10–10,128,274,191,148,329,287,26,11,237,229,207,126,314,181,314,242,278
192,Utah Valley,WAC,20,11-Nov,101,103.9,0.4179,51.4,48.7,21.2,14.8,31.7,24,43.5,34.6,51.2,47.2,34.7,34.4,70,-6.8
,,,,9–4,192,213,192,96,108,287,336,62,33,3,250,107,82,123,212,87,192
193,Loyola MD,Pat,17,11-Jun,98.2,101.1,0.4161,51.1,49.3,20.2,19.3,31.3,25.6,35.4,33.4,53.4,47.7,30.6,34.7,67.6,-8.7
,,,,4–10,247,147,193,117,135,240,133,68,80,72,213,45,96,301,228,203,250
194,Campbell,BSth,25,17-10,103.3,106.4,0.4139,55.7,52,18.5,21.5,19.6,30.9,33.8,30.5,55.4,55.4,37.4,31,63.9,-6.6
,,,,11–6,140,262,194,10,253,150,49,337,279,111,153,14,325,25,42,329,188
195,Montana,BSky,23,15-13,98.9,102,0.4118,48.9,49.6,19.4,18.2,22.7,29.1,35.9,40.4,46.5,50.2,36.6,32.4,65.6,-8.1
,,,,7–9,231,166,195,217,145,191,202,307,219,64,322,285,183,48,90,285,235
196,Rice,CUSA,25,15-13,102.6,105.8,0.4117,52.6,51.8,21.1,17.1,26.1,27.2,26.3,22,51.3,50.7,36,35.8,69.7,-7.5
,,,,6–10,156,250,196,62,245,284,276,226,145,297,5,102,213,64,273,98,215
197,Saint Joseph's,A10,20,15-May,101.4,104.7,0.4108,48.6,53.6,18.6,17.2,21.8,30.9,26.7,31.4,50.1,54.1,31.4,35.1,72.3,-8
,,,,3–9,182,228,197,234,308,156,267,321,279,294,170,149,305,278,243,23,231
198,Valparaiso,MVC,26,18-Oct,96.3,99.4,0.4093,47.2,50.3,18,17.8,20.9,26.3,26.1,28.8,48.9,50.2,29.7,33.6,66.9,-11.5
,,,,7–11,273,114,198,285,182,120,238,327,105,301,109,203,183,322,153,231,293
199,Hawaii,BW,19,10-Nov,101.3,104.7,0.4073,50.6,50.1,19.8,16.7,29.1,25.6,30.3,27.7,48.6,49.8,35.7,33.8,66.5,-7
,,,,9–9,188,227,199,132,175,218,295,127,80,202,79,218,166,76,169,254,202
200,Delaware,CAA,14,8-Jul,98.1,101.7,0.4,49.5,48.1,21.2,17.2,28.3,26.2,38.8,32.4,51,46.7,31.4,34,66.5,-6.6
,,,,5–4,249,160,200,190,83,287,267,153,102,21,192,113,61,278,183,251,189
RK,TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ T.,WAB
201,Louisiana Lafayette,SB,24,17-9,100.9,104.7,0.3962,50.3,48.4,20.4,17.2,32.2,27.9,30.1,30.3,48.8,46.7,35.6,34.9,70.9,-5.8
,,,,10–7,193,229,201,157,92,250,267,45,168,206,148,208,61,79,234,57,167
202,Seattle,WAC,19,11-Dec,98.3,102,0.3946,46.5,50.5,15.7,21.7,26.3,30.1,28.4,40.4,45.6,50,31.8,34.3,69.1,-7.8
,,,,4–5,244,169,202,302,190,23,42,217,254,252,322,307,176,260,203,124,224
203,Tarleton St.,WAC,15,10-Oct,99,102.9,0.389,48.6,52.1,18.4,23.4,19.3,31.7,38.1,45.5,45.6,50,37.4,36.3,64.4,-7.4
,,,,5–7,230,188,203,234,258,145,11,338,299,28,340,307,176,25,290,320,213
204,La Salle,A10,24,16-Sep,101.4,105.5,0.3872,50.1,52.1,20.7,19.5,26.8,29.4,24.3,36.1,49.9,53.8,33.6,32.9,68.5,-8.9
,,,,6–11,185,241,204,165,258,262,126,196,229,325,282,158,298,172,117,153,256
205,Cal Baptist,WAC,19,13-10,105.2,109.5,0.3864,53.9,51.6,19.7,16.1,27.4,28,36.9,37.2,50.3,49.9,39.5,36.8,70.4,-6.9
,,,,6–6,111,307,205,38,237,211,311,182,173,46,295,142,171,5,311,76,196
206,Norfolk St.,MEAC,23,17-8,98.2,102.2,0.386,48.7,47.5,17.6,20.5,27.7,29.3,37.1,40.6,44.7,47.5,37.2,31.7,67.6,-5
