Louisville,104.23551082497,106.94319305861,0.42680063139319,8–24,8,32,48.4,54.6,38.8,33.8,18.1,16.2,28.1,27.5,70.4,49.4,53.8,30.6,37.2,7.2,9.7,44.6,55.3,31.2,39.1,70.5,,,,2024,,,,-12.519745031372,74.6,73.2
Davidson,105.13793542766,100.27601639462,0.63285536366961,13–17,13,30,48.9,49.4,33.5,32.8,16.3,17.2,26.1,27.8,65.8,50.8,49.5,30.7,32.8,10,10.1,50.6,53.2,40,42,66.4,,,,2024,,,,-8.6828801887866,72.9,68.4
"North Florida",105.63455130362,111.73680979145,0.34392581714187,13–16,13,29,53.6,52.6,28.3,33.7,16.3,14.4,23.5,29.9,68.7,53.3,52.3,35.9,35.5,8.5,10.6,44.9,43.5,54.7,29.9,68.1,,,,2024,,,,-11.450310611489,78.1,73
"Missouri St.",103.8635011957,101.67746950103,0.56085328868196,17–16,17,33,49.7,48,31.5,24.9,17.3,13.1,29.1,24.7,68.5,51.2,47,31.4,33,11.8,8.8,47.1,49.8,36.8,38.8,68.8,,,,2024,,,,-7.9023151244642,71.1,71.7
Vanderbilt,103.59444029625,106.12634730431,0.43102098323787,9–23,9,32,45.4,53,35.2,29.5,15.3,15.9,28.2,29.3,67.8,47.4,51,28.3,37.4,8,9.8,40.1,55,39.3,39.6,66.6,,,,2024,,,,-10.515229463125,70.9,78.2
"Utah Tech",98.87095072176,107.61993524591,0.27386713012038,10–20,10,30,50.4,50.4,40.3,43.2,21.8,18.3,28.2,31.6,71.7,50.2,50.1,33.7,33.9,11.6,10.2,52.2,52.6,34.7,36.7,71.2,,,,2024,,,,-14.052088729725,63.7,72.8
Akron,105.72422262131,101.8791210857,0.60492780137986,22–10,22,32,52,48.6,33.6,29,17.2,16.6,29.5,25.6,66.7,54.8,50.7,32,30,8,7.8,48.2,45.4,41.5,36.8,66.7,,,,2024,,,,-4.51609041878,72.4,69.4
Memphis,111.57833095136,102.36747119799,0.72924896052876,22–10,22,32,52.8,50,36.3,29.6,18,19.1,33.4,33.6,72,52.9,49.3,35,34,12.6,11.6,48.8,53.3,38.9,42.7,72.6,,,,2024,,,,-1.0599033540656,72.5,71.5
"Central Arkansas",96.942655362334,114.30163728387,0.1307555720264,7–23,7,30,47.5,54,29.3,33.7,18.1,15.4,28.3,31.4,70.1,45.2,51.9,34.2,37.9,9.2,7.9,53.7,47.8,37.8,42.1,70.1,,,,2024,,,,-18.87793064859,75.1,72.7
"Murray St.",107.42618295022,105.84166115926,0.54261805278264,11–20,11,31,50,54.5,29.6,27.7,14.4,17.9,26.5,25.5,65.2,51.3,53.8,31.6,37,8.8,8.9,44.2,53.1,35.3,42.8,65.4,,,,2024,,,,-12.344737497383,69.8,72.4
